concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 270.87, 100, 147.08, 873, 230.0, 303.0, 438.9, 147.08, 873, 4063, 0, 0, 0, 0, 40, 4103
80, 544.47, 101, 146.1, 241, 163.0, 172.0, 201.0, 146.1, 241, 8167, 0, 0, 0, 0, 80, 8247
120, 719.93, 102, 165.9, 364, 197.0, 206.1, 222.0, 165.9, 364, 10799, 0, 0, 0, 0, 0, 10799
160, 818.73, 101, 194.32, 578, 215.0, 223.0, 568.0, 194.32, 578, 12281, 0, 0, 0, 0, 120, 12401
200, 1183.33, 100, 168.25, 294, 186.0, 197.0, 229.51, 168.25, 294, 17750, 0, 0, 0, 0, 160, 17910
240, 1338.73, 101, 178.06, 351, 214.0, 225.0, 247.0, 178.06, 351, 20081, 0, 0, 0, 0, 200, 20281
280, 1491.13, 100, 186.57, 418, 211.0, 222.0, 333.0, 186.57, 418, 22367, 0, 0, 0, 0, 240, 22607
320, 1460.87, 101, 217.02, 435, 240.0, 262.0, 371.0, 217.02, 435, 21913, 0, 0, 0, 0, 173, 22086
360, 1517.0, 101, 236.17, 582, 273.0, 366.0, 411.0, 236.17, 582, 22755, 0, 0, 0, 0, 193, 22948
400, 1447.67, 103, 273.67, 670, 386.0, 423.0, 492.86, 273.67, 670, 21715, 0, 0, 0, 0, 274, 21989
440, 1475.2, 103, 295.44, 1055, 382.0, 419.0, 463.0, 295.44, 1055, 22128, 0, 0, 0, 0, 160, 22288
480, 1432.47, 103, 331.72, 533, 429.0, 449.0, 480.0, 331.72, 533, 21487, 0, 0, 0, 0, 240, 21727
520, 1358.13, 103, 379.24, 586, 474.0, 520.0, 550.0, 379.24, 586, 20372, 0, 0, 0, 0, 120, 20492
560, 1333.67, 104, 414.54, 746, 516.0, 529.0, 548.0, 414.54, 746, 20005, 0, 0, 0, 0, 161, 20166
600, 1284.2, 103, 458.68, 621, 550.0, 569.0, 595.0, 458.68, 621, 19263, 0, 0, 0, 0, 279, 19542
640, 1241.4, 105, 502.24, 641, 587.0, 595.0, 609.0, 502.24, 641, 18621, 0, 0, 0, 0, 85, 18706
680, 1183.0, 103, 567.81, 805, 719.0, 748.0, 779.0, 567.81, 805, 17745, 0, 0, 0, 0, 195, 17940
720, 1124.47, 108, 626.83, 838, 781.0, 803.0, 822.0, 626.83, 838, 16867, 0, 0, 0, 0, 232, 17099
760, 1119.47, 108, 660.82, 877, 797.0, 810.0, 834.09, 660.82, 877, 16792, 0, 0, 0, 0, 153, 16945
800, 1080.73, 107, 716.52, 939, 849.0, 859.0, 875.0, 716.52, 939, 16211, 0, 0, 0, 0, 48, 16259
840, 1067.47, 115, 760.33, 915, 870.0, 880.0, 893.0, 760.33, 915, 16012, 0, 0, 0, 0, 202, 16214
880, 1007.2, 120, 840.54, 1011, 937.0, 943.0, 954.0, 840.54, 1011, 15108, 0, 0, 0, 0, 85, 15193
920, 987.0, 128, 879.17, 1290, 997.0, 1005.0, 1011.0, 879.17, 1290, 14805, 0, 0, 0, 0, 234, 15039
960, 962.47, 148, 941.93, 1155, 1013.0, 1021.0, 1026.0, 941.93, 1155, 14437, 0, 0, 0, 0, 127, 14564
1000, 869.47, 110, 1096.03, 1650, 1319.0, 1461.0, 1549.59, 1096.03, 1650, 13042, 0, 0, 0, 0, 119, 13161
