concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
15, 116.27, 60, 128.61, 1217, 192.0, 235.85, 394.57, 128.61, 1217, 1744, 0, 0, 0, 0, 15, 1759
30, 240.27, 60, 124.29, 661, 196.0, 231.0, 316.97, 124.29, 661, 3604, 0, 0, 0, 0, 30, 3634
45, 271.4, 57, 164.7, 1074, 291.0, 364.0, 530.6, 164.7, 1074, 4071, 0, 0, 0, 0, 30, 4101
60, 283.73, 57, 209.69, 942, 364.0, 441.0, 612.45, 209.69, 942, 4256, 0, 0, 0, 0, 23, 4279
75, 325.07, 65, 228.76, 822, 355.5, 419.25, 571.0, 228.76, 822, 4876, 0, 0, 0, 0, 52, 4928
90, 401.13, 60, 222.92, 809, 319.0, 376.2, 511.84, 222.92, 809, 6017, 0, 0, 0, 0, 64, 6081
105, 451.53, 61, 230.64, 702, 307.8, 345.0, 446.56, 230.64, 702, 6773, 0, 0, 0, 0, 43, 6816
120, 491.73, 62, 242.07, 727, 303.0, 337.0, 416.5, 242.07, 727, 7376, 0, 0, 0, 0, 73, 7449
135, 512.87, 89, 260.8, 650, 316.0, 344.0, 415.0, 260.8, 650, 7693, 0, 0, 0, 0, 74, 7767
150, 508.53, 85, 292.07, 668, 350.0, 381.65, 455.73, 292.07, 668, 7628, 0, 0, 0, 0, 76, 7704
165, 494.07, 80, 329.38, 707, 392.0, 423.5, 494.9, 329.38, 707, 7411, 0, 0, 0, 0, 53, 7464
180, 508.4, 93, 349.69, 756, 407.0, 438.0, 502.75, 349.69, 756, 7626, 0, 0, 0, 0, 74, 7700
195, 520.4, 96, 369.63, 702, 424.0, 450.0, 505.95, 369.63, 702, 7806, 0, 0, 0, 0, 67, 7873
210, 503.27, 69, 410.9, 832, 472.0, 503.0, 570.52, 410.9, 832, 7549, 0, 0, 0, 0, 100, 7649
225, 496.27, 105, 446.51, 781, 509.0, 539.0, 609.57, 446.51, 781, 7444, 0, 0, 0, 0, 64, 7508
240, 502.53, 98, 469.7, 977, 529.0, 559.0, 622.63, 469.7, 977, 7538, 0, 0, 0, 0, 52, 7590
255, 503.4, 103, 497.69, 884, 561.0, 589.0, 660.0, 497.69, 884, 7551, 0, 0, 0, 0, 89, 7640
270, 501.6, 56, 528.79, 1098, 597.0, 656.0, 844.77, 528.79, 1098, 7524, 0, 0, 0, 0, 59, 7583
285, 499.93, 95, 559.49, 994, 630.0, 664.0, 742.02, 559.49, 994, 7499, 0, 0, 0, 0, 47, 7546
300, 484.4, 129, 606.08, 1063, 691.0, 753.0, 842.7, 606.08, 1063, 7266, 0, 0, 0, 0, 83, 7349
315, 496.6, 72, 620.57, 1218, 692.0, 723.0, 794.52, 620.57, 1218, 7449, 0, 0, 0, 0, 102, 7551
330, 495.53, 105, 651.26, 1089, 724.0, 753.0, 820.0, 651.26, 1089, 7433, 0, 0, 0, 0, 47, 7480
345, 490.53, 113, 686.92, 1091, 773.3, 832.15, 908.43, 686.92, 1091, 7358, 0, 0, 0, 0, 49, 7407
360, 504.33, 100, 697.31, 1025, 768.0, 798.0, 867.0, 697.31, 1025, 7565, 0, 0, 0, 0, 84, 7649
375, 512.87, 108, 713.19, 1114, 793.0, 873.0, 941.16, 713.19, 1114, 7693, 0, 0, 0, 0, 88, 7781
