concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 315.0, 23, 126.62, 2274, 182.0, 210.8, 305.76, 126.62, 2274, 4725, 0, 0, 0, 0, 0, 4725
80, 742.8, 17, 107.28, 1881, 146.0, 162.0, 208.0, 107.28, 1881, 11142, 0, 0, 0, 0, 0, 11142
120, 946.6, 18, 126.06, 1486, 168.0, 181.0, 210.0, 126.06, 1486, 14199, 0, 0, 0, 0, 0, 14199
160, 1186.53, 35, 134.24, 2063, 179.0, 195.0, 238.0, 134.24, 2063, 17798, 0, 0, 0, 0, 0, 17798
200, 1674.67, 34, 119.0, 1442, 160.0, 172.0, 199.0, 119.0, 1442, 25120, 0, 0, 0, 0, 0, 25120
240, 2253.6, 21, 106.1, 306, 143.0, 156.0, 189.0, 106.1, 306, 33804, 0, 0, 0, 0, 0, 33804
280, 3351.2, 16, 83.29, 860, 113.0, 120.0, 136.0, 83.29, 860, 50268, 0, 0, 0, 0, 0, 50268
320, 3445.13, 19, 92.48, 1234, 124.0, 133.0, 149.0, 92.48, 1234, 51677, 0, 0, 0, 0, 0, 51677
360, 3473.6, 25, 103.19, 1147, 139.0, 149.0, 167.0, 103.19, 1147, 52104, 0, 0, 0, 0, 0, 52104
400, 3442.0, 18, 115.62, 758, 163.0, 178.0, 215.0, 115.62, 758, 51630, 0, 0, 0, 0, 0, 51630
440, 3498.53, 15, 125.07, 1694, 171.0, 183.0, 205.0, 125.07, 1694, 52478, 0, 0, 0, 0, 0, 52478
480, 3580.07, 16, 133.36, 1564, 185.0, 200.0, 226.0, 133.36, 1564, 53701, 0, 0, 0, 0, 0, 53701
520, 3504.93, 22, 147.41, 1876, 216.0, 237.0, 269.0, 147.41, 1876, 52574, 0, 0, 0, 0, 0, 52574
560, 3536.2, 35, 157.37, 930, 217.0, 236.0, 278.0, 157.37, 930, 53043, 0, 0, 0, 0, 0, 53043
600, 3623.27, 36, 164.54, 1950, 237.0, 259.0, 294.0, 164.54, 1950, 54349, 0, 0, 0, 0, 0, 54349
640, 3465.53, 41, 183.25, 1732, 269.0, 296.0, 333.0, 183.25, 1732, 51983, 0, 0, 0, 0, 0, 51983
680, 3598.2, 22, 187.6, 2394, 277.0, 305.0, 347.0, 187.6, 2394, 53973, 0, 0, 0, 0, 0, 53973
720, 3532.33, 42, 202.16, 3111, 298.0, 334.0, 379.0, 202.16, 3111, 52985, 0, 0, 0, 0, 0, 52985
760, 3541.8, 40, 212.5, 2109, 312.0, 347.0, 397.0, 212.5, 2109, 53127, 0, 0, 0, 0, 0, 53127
800, 3643.6, 40, 217.73, 2208, 317.0, 352.0, 400.0, 217.73, 2208, 54654, 0, 0, 0, 0, 0, 54654
840, 3626.27, 37, 229.26, 2966, 330.0, 362.0, 408.0, 229.26, 2966, 54394, 0, 0, 0, 0, 0, 54394
880, 3562.13, 38, 244.51, 2273, 349.0, 380.45, 435.0, 244.51, 2273, 53432, 0, 0, 0, 0, 0, 53432
920, 3639.6, 41, 250.48, 2954, 353.0, 388.0, 439.0, 250.48, 2954, 54594, 0, 0, 0, 0, 0, 54594
960, 3515.47, 44, 269.91, 2405, 374.0, 411.0, 470.0, 269.91, 2405, 52732, 0, 0, 0, 0, 0, 52732
1000, 3603.53, 46, 274.35, 1661, 381.0, 413.0, 476.0, 274.35, 1661, 54053, 0, 0, 0, 0, 0, 54053
