concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 268.33, 66, 148.53, 910, 248.0, 286.0, 435.52, 148.53, 910, 4025, 0, 0, 0, 0, 34, 4059
80, 503.4, 93, 158.04, 270, 176.0, 186.0, 199.0, 158.04, 270, 7551, 0, 0, 0, 0, 6, 7557
120, 546.73, 118, 217.9, 291, 244.0, 248.0, 259.0, 217.9, 291, 8201, 0, 0, 0, 0, 80, 8281
160, 669.27, 118, 237.39, 348, 265.0, 273.0, 286.0, 237.39, 348, 10039, 0, 0, 0, 0, 120, 10159
200, 849.67, 97, 233.54, 536, 271.0, 283.0, 414.56, 233.54, 536, 12745, 0, 0, 0, 0, 40, 12785
240, 1377.0, 96, 172.76, 288, 191.0, 206.0, 253.0, 172.76, 288, 20655, 0, 0, 0, 0, 200, 20855
280, 1365.53, 98, 203.64, 393, 227.0, 263.0, 356.0, 203.64, 393, 20483, 0, 0, 0, 0, 199, 20682
320, 1362.27, 119, 232.85, 414, 247.0, 250.0, 385.0, 232.85, 414, 20434, 0, 0, 0, 0, 240, 20674
360, 1410.8, 128, 252.56, 370, 266.0, 271.0, 284.0, 252.56, 370, 21162, 0, 0, 0, 0, 122, 21284
400, 1181.4, 142, 334.59, 6386, 431.0, 475.0, 661.0, 334.59, 6386, 17721, 0, 0, 0, 0, 238, 17959
440, 1118.27, 171, 387.66, 738, 504.0, 530.0, 638.0, 387.66, 738, 16774, 0, 0, 0, 0, 88, 16862
480, 1266.87, 133, 371.62, 624, 481.0, 494.0, 521.0, 371.62, 624, 19003, 0, 0, 0, 0, 270, 19273
520, 1286.27, 196, 397.94, 573, 502.0, 521.0, 542.0, 397.94, 573, 19294, 0, 0, 0, 0, 122, 19416
560, 1295.4, 134, 425.66, 701, 540.0, 561.0, 585.0, 425.66, 701, 19431, 0, 0, 0, 0, 127, 19558
600, 1207.07, 219, 489.8, 711, 602.0, 617.0, 638.0, 489.8, 711, 18106, 0, 0, 0, 0, 272, 18378
640, 1202.4, 234, 523.23, 699, 620.0, 632.0, 655.0, 523.23, 699, 18036, 0, 0, 0, 0, 120, 18156
680, 1096.8, 261, 605.82, 729, 700.0, 708.0, 719.0, 605.82, 729, 16452, 0, 0, 0, 0, 101, 16553
720, 1069.8, 264, 655.6, 920, 735.0, 747.0, 874.54, 655.6, 920, 16047, 0, 0, 0, 0, 179, 16226
760, 1009.53, 281, 726.29, 1144, 878.0, 897.0, 935.0, 726.29, 1144, 15143, 0, 0, 0, 0, 205, 15348
800, 1013.67, 310, 775.56, 959, 890.0, 927.0, 932.0, 775.56, 959, 15205, 0, 0, 0, 0, 125, 15330
840, 976.0, 287, 830.67, 1701, 980.0, 996.0, 1127.0, 830.67, 1701, 14640, 0, 0, 0, 0, 111, 14751
880, 940.87, 323, 915.87, 1214, 1004.0, 1125.0, 1176.0, 915.87, 1214, 14113, 0, 0, 0, 0, 65, 14178
920, 851.6, 275, 1041.4, 2025, 1212.0, 1261.0, 1630.0, 1041.4, 2025, 12774, 0, 0, 0, 0, 126, 12900
960, 859.53, 390, 1073.77, 1365, 1277.0, 1306.0, 1319.08, 1073.77, 1365, 12893, 0, 0, 0, 0, 152, 13045
1000, 674.67, 532, 1434.53, 2250, 1861.0, 2087.0, 2208.0, 1434.53, 2250, 10120, 0, 0, 0, 0, 144, 10264
