concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
15, 127.53, 24, 117.24, 1783, 210.0, 297.0, 647.72, 117.24, 1783, 1913, 0, 0, 0, 0, 15, 1928
30, 223.4, 20, 133.48, 1194, 265.0, 332.5, 559.0, 133.48, 1194, 3351, 0, 0, 0, 0, 30, 3381
45, 265.67, 16, 168.16, 1247, 338.0, 447.8, 664.32, 168.16, 1247, 3985, 0, 0, 0, 0, 24, 4009
60, 295.6, 20, 201.18, 1151, 387.7, 495.0, 701.02, 201.18, 1151, 4434, 0, 0, 0, 0, 30, 4464
75, 333.13, 18, 222.22, 1190, 377.0, 470.0, 683.16, 222.22, 1190, 4997, 0, 0, 0, 0, 51, 5048
90, 389.53, 22, 228.54, 1125, 364.0, 442.0, 615.58, 228.54, 1125, 5843, 0, 0, 0, 0, 55, 5898
105, 438.13, 16, 237.67, 1001, 368.0, 434.0, 573.0, 237.67, 1001, 6572, 0, 0, 0, 0, 50, 6622
120, 489.67, 38, 242.79, 837, 348.0, 407.0, 538.56, 242.79, 837, 7345, 0, 0, 0, 0, 75, 7420
135, 493.4, 58, 270.82, 920, 373.0, 428.0, 556.0, 270.82, 920, 7401, 0, 0, 0, 0, 68, 7469
150, 491.93, 47, 301.55, 906, 407.0, 461.0, 588.22, 301.55, 906, 7379, 0, 0, 0, 0, 72, 7451
165, 484.4, 17, 336.56, 935, 441.0, 499.75, 639.35, 336.56, 935, 7266, 0, 0, 0, 0, 54, 7320
180, 477.8, 39, 371.6, 1169, 494.0, 556.0, 676.34, 371.6, 1169, 7167, 0, 0, 0, 0, 72, 7239
195, 486.33, 27, 395.32, 1228, 499.0, 555.0, 710.06, 395.32, 1228, 7295, 0, 0, 0, 0, 55, 7350
210, 496.67, 53, 416.59, 1163, 530.0, 584.55, 711.51, 416.59, 1163, 7450, 0, 0, 0, 0, 89, 7539
225, 501.8, 54, 441.62, 1095, 547.0, 596.0, 717.48, 441.62, 1095, 7527, 0, 0, 0, 0, 67, 7594
240, 490.4, 68, 481.11, 1362, 597.0, 652.0, 783.9, 481.11, 1362, 7356, 0, 0, 0, 0, 52, 7408
255, 490.53, 56, 510.57, 1269, 629.3, 687.0, 809.43, 510.57, 1269, 7358, 0, 0, 0, 0, 85, 7443
270, 481.33, 78, 549.58, 1314, 677.0, 734.0, 878.81, 549.58, 1314, 7220, 0, 0, 0, 0, 59, 7279
285, 488.33, 59, 572.14, 1355, 688.0, 743.0, 856.76, 572.14, 1355, 7325, 0, 0, 0, 0, 75, 7400
300, 495.13, 62, 593.41, 1170, 713.0, 767.0, 893.0, 593.41, 1170, 7427, 0, 0, 0, 0, 68, 7495
315, 494.0, 78, 623.51, 1728, 737.0, 797.0, 914.0, 623.51, 1728, 7410, 0, 0, 0, 0, 82, 7492
330, 498.4, 17, 647.63, 1364, 766.0, 825.25, 954.25, 647.63, 1364, 7476, 0, 0, 0, 0, 56, 7532
345, 486.6, 25, 692.34, 1746, 837.0, 938.0, 1123.02, 692.34, 1746, 7299, 0, 0, 0, 0, 76, 7375
360, 500.0, 88, 702.41, 1505, 821.0, 878.05, 1024.0, 702.41, 1505, 7500, 0, 0, 0, 0, 58, 7558
375, 495.2, 41, 737.75, 1329, 864.0, 919.0, 1052.73, 737.75, 1329, 7428, 0, 0, 0, 0, 82, 7510
