concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
15, 90.8, 104, 164.43, 1903, 205.0, 228.95, 1.8e3, 164.43, 1903, 1362, 0, 0, 0, 0, 0, 1362
30, 273.0, 103, 109.44, 191, 115.0, 119.0, 141.0, 109.44, 191, 4095, 0, 0, 0, 0, 0, 4095
45, 412.67, 101, 108.59, 176, 113.0, 116.0, 131.11, 108.59, 176, 6190, 0, 0, 0, 0, 0, 6190
60, 549.27, 101, 108.74, 184, 114.0, 120.0, 142.0, 108.74, 184, 8239, 0, 0, 0, 0, 0, 8239
75, 659.8, 102, 113.25, 312, 130.0, 139.0, 181.04, 113.25, 312, 9897, 0, 0, 0, 0, 0, 9897
90, 847.73, 102, 105.77, 220, 107.0, 109.0, 124.0, 105.77, 220, 12716, 0, 0, 0, 0, 0, 12716
105, 967.93, 102, 108.05, 238, 113.0, 118.0, 134.0, 108.05, 238, 14519, 0, 0, 0, 0, 0, 14519
120, 908.27, 102, 131.42, 344, 167.0, 187.85, 234.0, 131.42, 344, 13624, 0, 0, 0, 0, 0, 13624
135, 843.73, 102, 158.9, 571, 235.0, 275.0, 368.45, 158.9, 571, 12656, 0, 0, 0, 0, 0, 12656
150, 841.47, 110, 177.01, 766, 255.0, 296.0, 384.0, 177.01, 766, 12622, 0, 0, 0, 0, 0, 12622
165, 840.53, 118, 194.86, 604, 272.0, 311.0, 398.0, 194.86, 604, 12608, 0, 0, 0, 0, 0, 12608
180, 836.2, 120, 213.52, 741, 290.0, 327.0, 421.0, 213.52, 741, 12543, 0, 0, 0, 0, 0, 12543
195, 838.8, 120, 230.44, 782, 306.0, 345.0, 439.19, 230.44, 782, 12582, 0, 0, 0, 0, 0, 12582
210, 843.27, 123, 246.78, 721, 322.0, 360.0, 446.0, 246.78, 721, 12649, 0, 0, 0, 0, 0, 12649
225, 843.27, 122, 264.29, 742, 339.0, 380.0, 465.0, 264.29, 742, 12649, 0, 0, 0, 0, 0, 12649
240, 842.0, 116, 282.14, 833, 358.0, 394.0, 481.0, 282.14, 833, 12630, 0, 0, 0, 0, 0, 12630
255, 840.13, 123, 300.25, 934, 375.0, 414.0, 502.0, 300.25, 934, 12602, 0, 0, 0, 0, 0, 12602
270, 844.67, 116, 316.04, 797, 390.0, 426.0, 515.0, 316.04, 797, 12670, 0, 0, 0, 0, 0, 12670
285, 843.27, 125, 333.98, 749, 409.0, 446.0, 540.0, 333.98, 749, 12649, 0, 0, 0, 0, 0, 12649
300, 844.67, 116, 350.7, 771, 427.0, 464.0, 555.31, 350.7, 771, 12670, 0, 0, 0, 0, 0, 12670
315, 840.47, 125, 369.85, 863, 444.0, 482.0, 570.0, 369.85, 863, 12607, 0, 0, 0, 0, 0, 12607
330, 843.6, 130, 385.91, 796, 463.0, 500.0, 584.47, 385.91, 796, 12654, 0, 0, 0, 0, 0, 12654
345, 845.27, 126, 402.39, 913, 478.0, 515.0, 600.22, 402.39, 913, 12679, 0, 0, 0, 0, 0, 12679
360, 842.93, 117, 420.81, 914, 497.0, 532.0, 620.14, 420.81, 914, 12644, 0, 0, 0, 0, 0, 12644
375, 834.2, 140, 442.79, 910, 525.0, 587.0, 701.0, 442.79, 910, 12513, 0, 0, 0, 0, 0, 12513
