concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
15, 111.0, 24, 134.55, 1900, 184.0, 207.8, 298.76, 134.55, 1900, 1665, 0, 0, 0, 0, 0, 1665
30, 337.13, 23, 88.76, 346, 139.0, 161.0, 213.44, 88.76, 346, 5057, 0, 0, 0, 0, 0, 5057
45, 516.67, 35, 86.85, 190, 114.0, 123.0, 139.0, 86.85, 190, 7750, 0, 0, 0, 0, 0, 7750
60, 615.0, 41, 97.25, 303, 123.0, 131.0, 153.0, 97.25, 303, 9225, 0, 0, 0, 0, 0, 9225
75, 854.0, 39, 87.53, 310, 112.0, 120.0, 138.0, 87.53, 310, 12810, 0, 0, 0, 0, 0, 12810
90, 904.53, 37, 99.08, 483, 134.0, 157.0, 217.0, 99.08, 483, 13568, 0, 0, 0, 0, 0, 13568
105, 860.6, 56, 121.35, 670, 189.0, 224.0, 308.0, 121.35, 670, 12909, 0, 0, 0, 0, 0, 12909
120, 846.73, 68, 140.92, 627, 215.0, 257.0, 351.0, 140.92, 627, 12701, 0, 0, 0, 0, 0, 12701
135, 847.8, 63, 158.26, 668, 233.0, 273.0, 367.0, 158.26, 668, 12717, 0, 0, 0, 0, 0, 12717
150, 842.87, 67, 176.72, 658, 252.0, 288.9, 382.58, 176.72, 658, 12643, 0, 0, 0, 0, 0, 12643
165, 844.13, 71, 193.99, 851, 269.0, 308.0, 401.0, 193.99, 851, 12662, 0, 0, 0, 0, 0, 12662
180, 845.33, 63, 211.24, 664, 287.0, 324.0, 417.21, 211.24, 664, 12680, 0, 0, 0, 0, 0, 12680
195, 845.07, 66, 228.8, 716, 305.0, 344.0, 436.0, 228.8, 716, 12676, 0, 0, 0, 0, 0, 12676
210, 845.6, 69, 246.08, 846, 323.0, 360.0, 448.0, 246.08, 846, 12684, 0, 0, 0, 0, 0, 12684
225, 845.2, 86, 263.66, 937, 337.3, 379.0, 471.0, 263.66, 937, 12678, 0, 0, 0, 0, 0, 12678
240, 845.33, 76, 280.98, 855, 357.0, 396.0, 485.0, 280.98, 855, 12680, 0, 0, 0, 0, 0, 12680
255, 842.4, 83, 299.44, 812, 375.0, 411.0, 504.0, 299.44, 812, 12636, 0, 0, 0, 0, 0, 12636
270, 839.73, 88, 317.9, 801, 396.0, 434.0, 527.0, 317.9, 801, 12596, 0, 0, 0, 0, 0, 12596
285, 841.27, 135, 334.71, 795, 411.0, 448.0, 537.82, 334.71, 795, 12619, 0, 0, 0, 0, 0, 12619
300, 841.27, 94, 352.08, 898, 430.0, 466.0, 557.82, 352.08, 898, 12619, 0, 0, 0, 0, 0, 12619
315, 841.87, 95, 369.34, 836, 445.0, 485.0, 572.0, 369.34, 836, 12628, 0, 0, 0, 0, 0, 12628
330, 840.93, 95, 387.06, 906, 465.0, 502.0, 597.74, 387.06, 906, 12614, 0, 0, 0, 0, 0, 12614
345, 845.87, 109, 402.08, 911, 479.0, 515.0, 600.0, 402.08, 911, 12688, 0, 0, 0, 0, 0, 12688
360, 843.87, 104, 420.25, 851, 495.0, 534.0, 616.0, 420.25, 851, 12658, 0, 0, 0, 0, 0, 12658
375, 832.27, 113, 443.8, 955, 530.0, 592.0, 706.17, 443.8, 955, 12484, 0, 0, 0, 0, 0, 12484
